id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1407620192352473090,1407620192352473090,2021-06-23 10:43:00 Hora de verano romance,2021-06-23,10:43:00,+0200,281493324,jordiabogado,Jorge I. Sainz 💚,,Oye @SanPabloBurgos poco se ha dicho pero desde que Fernando Alonso tuvo nuevo vehículo y bien equipado los títulos han caído …,es,"[{'screen_name': 'sanpabloburgos', 'name': 'hereda san pablo burgos', 'id': '3537340217'}]",[],[],0,0,0,[],[],https://twitter.com/jordiabogado/status/1407620192352473090,False,,0,,,,,,,,[],,,,
1407492487850205184,1407068111145144321,2021-06-23 02:15:33 Hora de verano romance,2021-06-23,02:15:33,+0200,2148727423,politicoliseum,MoreniToro de Burgos no vacuna al morlacoVid 21.,,@tapeich Si no vuelve Andreu Casadevall puede entrenar al @SanPabloBurgos Cubillo ex @CB_Tizona. #PasadoPresenteFuturo,es,"[{'screen_name': 'sanpabloburgos', 'name': 'hereda san pablo burgos', 'id': '3537340217'}, {'screen_name': 'cb_tizona', 'name': 'cb_tizona', 'id': '1406568795372654592'}]",[],[],0,0,0,['pasadopresentefuturo'],[],https://twitter.com/POLITICOliseum/status/1407492487850205184,False,,0,,,,,,,,"[{'screen_name': 'tapeich', 'name': 'Ángel Tapia', 'id': '197066669'}]",,,,
1407419161215709191,1407419161215709191,2021-06-22 21:24:11 Hora de verano romance,2021-06-22,21:24:11,+0200,197066669,tapeich,Ángel Tapia,,@ibonnavarro sabemos que estás feliz e identificado en Andorra pero aquí vas a estar más a gusto que en brazos y el @SanPabloBurgos te pilla cerca de casa. Tenemos morcilla y lechazo. Dale una vuelta anda🤣🤣🙏🙏 . Un saludo.,es,"[{'screen_name': 'sanpabloburgos', 'name': 'hereda san pablo burgos', 'id': '3537340217'}]",[],[],0,0,0,[],[],https://twitter.com/tapeich/status/1407419161215709191,False,,0,,,,,,,,[],,,,
1407367189888487434,1407352604766654473,2021-06-22 17:57:40 Hora de verano romance,2021-06-22,17:57:40,+0200,166924588,kskbasket,Pınar Karşıyaka,,@BasketballCL @SanPabloBurgos @HapoelHolonBC @jdadijonbasket @HappycasaNBB Thanks 💪💚❤️,en,[],[],[],0,0,7,[],[],https://twitter.com/KSKBasket/status/1407367189888487434,False,,0,,,,,,,,"[{'screen_name': 'BasketballCL', 'name': 'Basketball Champions League', 'id': '710703697345568769'}, {'screen_name': 'SanPabloBurgos', 'name': 'Hereda San Pablo Burgos', 'id': '3537340217'}, {'screen_name': 'HapoelHolonBC', 'name': 'Hapoel Holon', 'id': '1019480314782117888'}, {'screen_name': 'jdadijonbasket', 'name': 'JDA Dijon Basket', 'id': '265905444'}, {'screen_name': 'HappycasaNBB', 'name': 'HappyCasaNBB', 'id': '404436236'}]",,,,
1407366308275105795,1407352604766654473,2021-06-22 17:54:10 Hora de verano romance,2021-06-22,17:54:10,+0200,1019480314782117888,hapoelholonbc,Hapoel Holon,,@BasketballCL @SanPabloBurgos @KSKBasket @jdadijonbasket @HappycasaNBB Thanks 💜👊 back at you for the social partnership 🙏,en,[],[],[],0,0,23,[],[],https://twitter.com/HapoelHolonBC/status/1407366308275105795,False,,0,,,,,,,,"[{'screen_name': 'BasketballCL', 'name': 'Basketball Champions League', 'id': '710703697345568769'}, {'screen_name': 'SanPabloBurgos', 'name': 'Hereda San Pablo Burgos', 'id': '3537340217'}, {'screen_name': 'KSKBasket', 'name': 'Pınar Karşıyaka', 'id': '166924588'}, {'screen_name': 'jdadijonbasket', 'name': 'JDA Dijon Basket', 'id': '265905444'}, {'screen_name': 'HappycasaNBB', 'name': 'HappyCasaNBB', 'id': '404436236'}]",,,,
1407361188103655424,1407352604766654473,2021-06-22 17:33:49 Hora de verano romance,2021-06-22,17:33:49,+0200,404436236,happycasanbb,HappyCasaNBB,,@BasketballCL @SanPabloBurgos @KSKBasket @HapoelHolonBC @jdadijonbasket Top 🔝🇪🇺 #basketballcl,und,[],[],[],0,0,6,['basketballcl'],[],https://twitter.com/HappycasaNBB/status/1407361188103655424,False,,0,,,,,,,,"[{'screen_name': 'BasketballCL', 'name': 'Basketball Champions League', 'id': '710703697345568769'}, {'screen_name': 'SanPabloBurgos', 'name': 'Hereda San Pablo Burgos', 'id': '3537340217'}, {'screen_name': 'KSKBasket', 'name': 'Pınar Karşıyaka', 'id': '166924588'}, {'screen_name': 'HapoelHolonBC', 'name': 'Hapoel Holon', 'id': '1019480314782117888'}, {'screen_name': 'jdadijonbasket', 'name': 'JDA Dijon Basket', 'id': '265905444'}]",,,,
1407357958237868032,1404401583107026945,2021-06-22 17:20:59 Hora de verano romance,2021-06-22,17:20:59,+0200,3537340217,sanpabloburgos,Hereda San Pablo Burgos,,"@kolgake ¡Hola! Ken se opera el 28, necesitaba más rehabilitación. Daremos más información en cuanto podamos. ¡Gracias por vuestro apoyo ✊!",es,[],[],[],0,0,2,[],[],https://twitter.com/SanPabloBurgos/status/1407357958237868032,False,,0,,,,,,,,"[{'screen_name': 'kolgake', 'name': 'Koska Ortega', 'id': '769457160979902464'}]",,,,
1407357566443786252,1406975710816780296,2021-06-22 17:19:25 Hora de verano romance,2021-06-22,17:19:25,+0200,437851587,rubenruizpampli,Rubén Ruiz💚❤️💛❤️,,@SanPabloBurgos EL PUTO AMO,es,[],[],[],0,0,0,[],[],https://twitter.com/RubenRuizPampli/status/1407357566443786252,False,,0,,,,,,,,"[{'screen_name': 'SanPabloBurgos', 'name': 'Hereda San Pablo Burgos', 'id': '3537340217'}]",,,,
1407357399158173704,1407352604766654473,2021-06-22 17:18:46 Hora de verano romance,2021-06-22,17:18:46,+0200,265905444,jdadijonbasket,JDA Dijon Basket,,@BasketballCL @SanPabloBurgos @KSKBasket @HapoelHolonBC @HappycasaNBB Thanks guys !,en,[],[],[],0,0,3,[],[],https://twitter.com/jdadijonbasket/status/1407357399158173704,False,,0,,,,,,,,"[{'screen_name': 'BasketballCL', 'name': 'Basketball Champions League', 'id': '710703697345568769'}, {'screen_name': 'SanPabloBurgos', 'name': 'Hereda San Pablo Burgos', 'id': '3537340217'}, {'screen_name': 'KSKBasket', 'name': 'Pınar Karşıyaka', 'id': '166924588'}, {'screen_name': 'HapoelHolonBC', 'name': 'Hapoel Holon', 'id': '1019480314782117888'}, {'screen_name': 'HappycasaNBB', 'name': 'HappyCasaNBB', 'id': '404436236'}]",,,,
1407357291968536586,1407352604766654473,2021-06-22 17:18:20 Hora de verano romance,2021-06-22,17:18:20,+0200,3537340217,sanpabloburgos,Hereda San Pablo Burgos,,@BasketballCL @KSKBasket @HapoelHolonBC @jdadijonbasket @HappycasaNBB 🙌 thanks!,en,[],[],[],0,0,6,[],[],https://twitter.com/SanPabloBurgos/status/1407357291968536586,False,,0,,,,,,,,"[{'screen_name': 'BasketballCL', 'name': 'Basketball Champions League', 'id': '710703697345568769'}, {'screen_name': 'KSKBasket', 'name': 'Pınar Karşıyaka', 'id': '166924588'}, {'screen_name': 'HapoelHolonBC', 'name': 'Hapoel Holon', 'id': '1019480314782117888'}, {'screen_name': 'jdadijonbasket', 'name': 'JDA Dijon Basket', 'id': '265905444'}, {'screen_name': 'HappycasaNBB', 'name': 'HappyCasaNBB', 'id': '404436236'}]",,,,
