id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1392254797567467520,1392254797567467520,2021-05-12 01:06:25 Hora de verano romance,2021-05-12,01:06:25,+0200,1278493878702821378,sisvinticinc,"6,25 🏀",,FINAL❗️🟢⚫️  La @Penya1930 assalta la pista de @Baskonia i certifica el seu bitllet per al #PlayoffLigaEndesa (71-79).  #LigaEndesa  https://t.co/mkGednIUZ5,ca,"[{'screen_name': 'penya1930', 'name': 'club joventut badalona', 'id': '249090832'}, {'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}]",[],['https://pbs.twimg.com/media/E1JIW4qXIAoRXCV.jpg'],0,0,0,"['playoffligaendesa', 'ligaendesa']",[],https://twitter.com/SisVinticinc/status/1392254797567467520,False,,1,https://pbs.twimg.com/media/E1JIW4qXIAoRXCV.jpg,,,,,,,[],,,,
1392244352383135744,1392183310353305601,2021-05-12 00:24:54 Hora de verano romance,2021-05-12,00:24:54,+0200,2714683222,rphoenix777,Red phoenix,,"@MikelArrazola @Baskonia Sin entrenar, jugadores nuevos, un monton de junior... lo han intentado,no se ha podido , a por el jueves",es,[],[],[],1,0,1,[],[],https://twitter.com/RPhoenix777/status/1392244352383135744,False,,0,,,,,,,,"[{'screen_name': 'MikelArrazola', 'name': 'Mikel Arrazola', 'id': '50152512'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1392238763833798673,1392181408047714308,2021-05-12 00:02:42 Hora de verano romance,2021-05-12,00:02:42,+0200,703847790,vmac1973,victor,,"@Baskonia Me ha ""gustado"" el equipo. No nos han dado las fuerzas y tenemos muchas carencias,pero al menos hemos dado la cara.",es,[],[],[],0,0,0,[],[],https://twitter.com/vmac1973/status/1392238763833798673,False,,0,,,,,,,,"[{'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1392237910083133448,1392217012554932224,2021-05-11 23:59:18 Hora de verano romance,2021-05-11,23:59:18,+0200,1361767262500356098,basket_europe,BasketEuropeWorld,,@Darthros @Baskonia @Penya1930 Te contesto por MD 😉😉,es,[],[],[],0,0,0,[],[],https://twitter.com/basket_europe/status/1392237910083133448,False,,0,,,,,,,,"[{'screen_name': 'Darthros', 'name': 'Darthros 🎗', 'id': '315156384'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}, {'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}]",,,,
1392237209172971524,1392237209172971524,2021-05-11 23:56:31 Hora de verano romance,2021-05-11,23:56:31,+0200,374719260,polpeig,Pol Peig,,@Penya1930 certificó hoy su presencia en PlayOff tras vencer al @Baskonia. Aquí mi crónica del partido.,es,"[{'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}]",[],[],0,0,0,[],[],https://twitter.com/Polpeig/status/1392237209172971524,False,https://twitter.com/G3Basket/status/1392236328742424576,0,,,,,,,,[],,,,
1392233590621102087,1392037071305510914,2021-05-11 23:42:09 Hora de verano romance,2021-05-11,23:42:09,+0200,1287831499056832513,maxivid91236131,Maxi Vidal,,@joniuus @PitbullBarEEE @Baskonia @chemadelucas @iDream_Frantz Que va ya lo veras solo penetra no tiene tiro exterior,es,[],[],[],0,0,0,[],[],https://twitter.com/MaxiVid91236131/status/1392233590621102087,False,,0,,,,,,,,"[{'screen_name': 'joniuus', 'name': 'jon', 'id': '1313145434362318853'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}, {'screen_name': 'chemadelucas', 'name': 'Chema de Lucas', 'id': '103710949'}, {'screen_name': 'iDream_Frantz', 'name': 'Frantz Massenat', 'id': '166425767'}]",,,,
1392226473126342660,1392110385092780034,2021-05-11 23:13:52 Hora de verano romance,2021-05-11,23:13:52,+0200,1350633928634335233,mattimauro2,Mattimauro,,@iDream_Frantz @Baskonia So deserved!!!,en,[],[],[],0,0,0,[],[],https://twitter.com/Mattimauro2/status/1392226473126342660,False,,0,,,,,,,,"[{'screen_name': 'iDream_Frantz', 'name': 'Frantz Massenat', 'id': '166425767'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1392226313856069634,1392182492837388291,2021-05-11 23:13:14 Hora de verano romance,2021-05-11,23:13:14,+0200,1353368341914779649,luisill65197519,Sama Siku,,"@hirukoa80 Estamos de pretemporada. Faltó ritmo, pérdidas y fallos en canastas fáciles, pero por ganas de hacerlo bien y no poder. Paciencia estaremos dando guerra, sin duda ¡¡¡Aupa @Baskonia!!!",es,"[{'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}]",[],[],0,0,0,[],[],https://twitter.com/Luisill65197519/status/1392226313856069634,False,,0,,,,,,,,"[{'screen_name': 'hirukoa80', 'name': 'Hirukoa', 'id': '820750696324677632'}]",,,,
1392222237181239297,1392037071305510914,2021-05-11 22:57:02 Hora de verano romance,2021-05-11,22:57:02,+0200,1313145434362318853,joniuus,jon,,@PitbullBarEEE @MaxiVid91236131 @Baskonia @chemadelucas @iDream_Frantz Es un fichajazo,es,[],[],[],1,0,0,[],[],https://twitter.com/joniuus/status/1392222237181239297,False,,0,,,,,,,,"[{'screen_name': 'MaxiVid91236131', 'name': 'Maxi Vidal', 'id': '1287831499056832513'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}, {'screen_name': 'chemadelucas', 'name': 'Chema de Lucas', 'id': '103710949'}, {'screen_name': 'iDream_Frantz', 'name': 'Frantz Massenat', 'id': '166425767'}]",,,,
1392221065779286016,1392217012554932224,2021-05-11 22:52:22 Hora de verano romance,2021-05-11,22:52:22,+0200,315156384,darthros,Darthros 🎗,,@basket_europe @Baskonia @Penya1930 Aquí un interesado!!👍🏽,es,[],[],[],1,0,1,[],[],https://twitter.com/Darthros/status/1392221065779286016,False,,0,,,,,,,,"[{'screen_name': 'basket_europe', 'name': 'BasketEuropeWorld', 'id': '1361767262500356098'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}, {'screen_name': 'Penya1930', 'name': 'Club Joventut Badalona', 'id': '249090832'}]",,,,
