id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1388999648925343745,1388943686302580736,2021-05-03 01:31:37 Hora de verano romance,2021-05-03,01:31:37,+0200,2434435365,shaske100,Pajaroto10,,@CasademontZGZ @RMBaloncesto Igualmente !! Suerte en Rusia,es,[],[],[],0,0,1,[],[],https://twitter.com/shaske100/status/1388999648925343745,False,,0,,,,,,,,"[{'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'RMBaloncesto', 'name': 'Real Madrid Basket', 'id': '1147824680'}]",,,,
1388993083736535041,1388881851079606282,2021-05-03 01:05:32 Hora de verano romance,2021-05-03,01:05:32,+0200,1233578432,joseangg2014,JOSEANTONIOGG2021,,@Noemifdez85 @ACBCOM @CasademontZGZ El escenario de la 8 y camino a la 11,es,[],[],[],0,0,0,[],[],https://twitter.com/JOSEANGG2014/status/1388993083736535041,False,,0,,,,,,,,"[{'screen_name': 'Noemifdez85', 'name': 'Noemi Fernández', 'id': '363150330'}, {'screen_name': 'ACBCOM', 'name': 'Liga Endesa', 'id': '42856346'}, {'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}]",,,,
1388989997035003904,1388940567879553024,2021-05-03 00:53:16 Hora de verano romance,2021-05-03,00:53:16,+0200,1103359302,aitordelara,Aitor De Lara,,@Miguel9c @FRBoston @CasademontZGZ @MovistarBasket @realmadridtves F,und,[],[],[],0,0,0,[],[],https://twitter.com/aitordelara/status/1388989997035003904,False,,0,,,,,,,,"[{'screen_name': 'Miguel9c', 'name': 'Miguel Cebrian', 'id': '306893069'}, {'screen_name': 'FRBoston', 'name': 'Francisco Ballano', 'id': '528551268'}, {'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'MovistarBasket', 'name': 'Basket en Movistar+', 'id': '1897670472'}, {'screen_name': 'realmadridtves', 'name': 'Realmadridtv', 'id': '199075094'}]",,,,
1388989866294358027,1388940567879553024,2021-05-03 00:52:44 Hora de verano romance,2021-05-03,00:52:44,+0200,306893069,miguel9c,Miguel Cebrian,,@aitordelara @FRBoston @CasademontZGZ @MovistarBasket @realmadridtves Ojala estuviesen el 17 en la clasificacion,es,[],[],[],1,0,1,[],[],https://twitter.com/Miguel9c/status/1388989866294358027,False,,0,,,,,,,,"[{'screen_name': 'aitordelara', 'name': 'Aitor De Lara', 'id': '1103359302'}, {'screen_name': 'FRBoston', 'name': 'Francisco Ballano', 'id': '528551268'}, {'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'MovistarBasket', 'name': 'Basket en Movistar+', 'id': '1897670472'}, {'screen_name': 'realmadridtves', 'name': 'Realmadridtv', 'id': '199075094'}]",,,,
1388989666267959298,1388940567879553024,2021-05-03 00:51:57 Hora de verano romance,2021-05-03,00:51:57,+0200,1103359302,aitordelara,Aitor De Lara,,"@Miguel9c @FRBoston @CasademontZGZ @MovistarBasket @realmadridtves Joder, mi respuesta era la clasificación de los Thunder. Pero veo que ya la subes tú...",es,[],[],[],1,0,0,[],[],https://twitter.com/aitordelara/status/1388989666267959298,False,,0,,,,,,,,"[{'screen_name': 'Miguel9c', 'name': 'Miguel Cebrian', 'id': '306893069'}, {'screen_name': 'FRBoston', 'name': 'Francisco Ballano', 'id': '528551268'}, {'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'MovistarBasket', 'name': 'Basket en Movistar+', 'id': '1897670472'}, {'screen_name': 'realmadridtves', 'name': 'Realmadridtv', 'id': '199075094'}]",,,,
1388989315766792196,1388940567879553024,2021-05-03 00:50:33 Hora de verano romance,2021-05-03,00:50:33,+0200,306893069,miguel9c,Miguel Cebrian,,@aitordelara @FRBoston @CasademontZGZ @MovistarBasket @realmadridtves  https://t.co/tRImmsjgbq,und,[],[],['https://pbs.twimg.com/media/E0aua9ZXsAQKwsK.jpg'],1,0,0,[],[],https://twitter.com/Miguel9c/status/1388989315766792196,False,,1,https://pbs.twimg.com/media/E0aua9ZXsAQKwsK.jpg,,,,,,,"[{'screen_name': 'aitordelara', 'name': 'Aitor De Lara', 'id': '1103359302'}, {'screen_name': 'FRBoston', 'name': 'Francisco Ballano', 'id': '528551268'}, {'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'MovistarBasket', 'name': 'Basket en Movistar+', 'id': '1897670472'}]",,,,
1388986950099652609,1388981621152522247,2021-05-03 00:41:09 Hora de verano romance,2021-05-03,00:41:09,+0200,1297141442884833281,zapater21,RZunsentimiento🇪🇦,,@CasademontZGZ @canadiankidDJE @EliasJMHarris @Alejandro_Moda me gusta #GoLionsBCL  https://t.co/3dCvfq8mgj,es,[],[],['https://pbs.twimg.com/tweet_video_thumb/E0asQ73WYAM1NrM.jpg'],0,0,0,['golionsbcl'],[],https://twitter.com/zapater21/status/1388986950099652609,False,,1,https://pbs.twimg.com/tweet_video_thumb/E0asQ73WYAM1NrM.jpg,,,,,,,"[{'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'canadiankidDJE', 'name': 'Dylan Ennis', 'id': '143103210'}, {'screen_name': 'EliasJMHarris', 'name': 'Elias Harris', 'id': '479812611'}, {'screen_name': 'Alejandro_Moda', 'name': 'Alejandro Moda', 'id': '562861122'}]",,,,
1388985450325553152,1388981621152522247,2021-05-03 00:35:12 Hora de verano romance,2021-05-03,00:35:12,+0200,1297141442884833281,zapater21,RZunsentimiento🇪🇦,,@CasademontZGZ @canadiankidDJE @EliasJMHarris @Alejandro_Moda molaría inventar un hastag para que los jugadores sintieran nuestro apoyo desde Rusia.,es,[],[],[],0,0,0,[],[],https://twitter.com/zapater21/status/1388985450325553152,False,,0,,,,,,,,"[{'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'canadiankidDJE', 'name': 'Dylan Ennis', 'id': '143103210'}, {'screen_name': 'EliasJMHarris', 'name': 'Elias Harris', 'id': '479812611'}, {'screen_name': 'Alejandro_Moda', 'name': 'Alejandro Moda', 'id': '562861122'}]",,,,
1388984805145055240,1388943686302580736,2021-05-03 00:32:38 Hora de verano romance,2021-05-03,00:32:38,+0200,874649343730622465,maddeprovince,🇪🇸MadDeProvince🇪🇸,,@CasademontZGZ @RMBaloncesto Igualmente!! Mucha suerte en Rusia mañicos 👏👏👏,es,[],[],[],0,0,1,[],[],https://twitter.com/maddeprovince/status/1388984805145055240,False,,0,,,,,,,,"[{'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'RMBaloncesto', 'name': 'Real Madrid Basket', 'id': '1147824680'}]",,,,
1388983428348059652,1388981621152522247,2021-05-03 00:27:10 Hora de verano romance,2021-05-03,00:27:10,+0200,1297141442884833281,zapater21,RZunsentimiento🇪🇦,,@CasademontZGZ @canadiankidDJE @EliasJMHarris @Alejandro_Moda NBA style.  https://t.co/4QkaUGZGgG,en,[],[],['https://pbs.twimg.com/tweet_video_thumb/E0apDqTXIAI5UwS.jpg'],0,0,0,[],[],https://twitter.com/zapater21/status/1388983428348059652,False,,1,https://pbs.twimg.com/tweet_video_thumb/E0apDqTXIAI5UwS.jpg,,,,,,,"[{'screen_name': 'CasademontZGZ', 'name': 'Casademont Zaragoza', 'id': '477693359'}, {'screen_name': 'canadiankidDJE', 'name': 'Dylan Ennis', 'id': '143103210'}, {'screen_name': 'EliasJMHarris', 'name': 'Elias Harris', 'id': '479812611'}, {'screen_name': 'Alejandro_Moda', 'name': 'Alejandro Moda', 'id': '562861122'}]",,,,
