id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1388992633050214405,1388884914960060422,2021-05-03 01:03:44 Hora de verano romance,2021-05-03,01:03:44,+0200,1137823796608606208,daviddiazmateo,David Díaz Mateo,,@Almawan10 @RealBetisBasket Felicidades!!!,pt,[],[],[],0,0,0,[],[],https://twitter.com/DavidDiazMateo/status/1388992633050214405,False,,0,,,,,,,,"[{'screen_name': 'Almawan10', 'name': 'Pablo Almazán', 'id': '536816307'}, {'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}]",,,,
1388990411151134722,1388830137051979776,2021-05-03 00:54:54 Hora de verano romance,2021-05-03,00:54:54,+0200,1000391093366804481,manuelmontesol,Manuel Montesol,,"@RealBetisBasket @BasquetManresa Magnifica victoria con una gran defensa, un buen juego de equipo y muy buena dirección técnica. Ahora a por la última victoria para firmar la permanencia.",es,[],[],[],0,0,0,[],[],https://twitter.com/ManuelMontesol/status/1388990411151134722,False,,0,,,,,,,,"[{'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}, {'screen_name': 'BasquetManresa', 'name': 'BAXI Manresa', 'id': '191111959'}]",,,,
1388986576508706816,1388972333453516810,2021-05-03 00:39:40 Hora de verano romance,2021-05-03,00:39:40,+0200,992890164706988032,beticoalberto97,albertobetico1997,,@Pepelias17_ @RealBetisBasket Que tendría que perder otro partido el estudiantes y tres partidos el Bilbao y entonces ya seríamos equipo matemáticamente salvado?,es,[],[],[],0,0,0,[],[],https://twitter.com/beticoalberto97/status/1388986576508706816,False,,0,,,,,,,,"[{'screen_name': 'Pepelias17_', 'name': 'Pepe Elías', 'id': '856509759545016321'}, {'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}]",,,,
1388984384611659778,1388984384611659778,2021-05-03 00:30:58 Hora de verano romance,2021-05-03,00:30:58,+0200,1304560135784849410,esportgironi,Esport Gironí,,"BÀSQUET-El llagosterenc @GjouC (4 punts, 2 rebots i 1 assistència) i el gironí @Yankusima (3 punts, 2 rebots i 1 assistència) han jugat en la derrota del @BasquetManresa per 86-70 contra el @RealBetisBasket en la jornada 35 de la #LigaEndesa",ca,"[{'screen_name': 'gjouc', 'name': 'guillem jou', 'id': '624223326'}, {'screen_name': 'yankusima', 'name': 'yankuba sima fatty', 'id': '2496464554'}, {'screen_name': 'basquetmanresa', 'name': 'baxi manresa', 'id': '191111959'}, {'screen_name': 'realbetisbasket', 'name': 'coosur real betis', 'id': '87921838'}]",[],[],0,0,0,['ligaendesa'],[],https://twitter.com/EsportGironi/status/1388984384611659778,False,,0,,,,,,,,[],,,,
1388982127727939588,1388912419469021185,2021-05-03 00:21:59 Hora de verano romance,2021-05-03,00:21:59,+0200,992890164706988032,beticoalberto97,albertobetico1997,,"@humberto999 @Rafawgonzalez @RealBetisBasket Al estudiantes le ganamos el basketaverage,yo aún así no entiendo porque seríamos los perjudicados",es,[],[],[],1,0,0,[],[],https://twitter.com/beticoalberto97/status/1388982127727939588,False,,0,,,,,,,,"[{'screen_name': 'humberto999', 'name': 'Humberto Fdez', 'id': '123951346'}, {'screen_name': 'Rafawgonzalez', 'name': 'ESEBETISGÜENO', 'id': '500869643'}, {'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}]",,,,
1388979354525474816,1388938844662222848,2021-05-03 00:10:58 Hora de verano romance,2021-05-03,00:10:58,+0200,341660960,alepuch,Ale Puch,,@RealBetisBasket @yndoye35 Muy fan de @yndoye35!!!! 🤣🤣,es,"[{'screen_name': 'yndoye35', 'name': 'youssoupha ndoye', 'id': '211037693'}]",[],[],0,0,1,[],[],https://twitter.com/AlePuch/status/1388979354525474816,False,,0,,,,,,,,"[{'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}, {'screen_name': 'yndoye35', 'name': 'youssoupha ndoye', 'id': '211037693'}]",,,,
1388976726584315911,1388938844662222848,2021-05-03 00:00:32 Hora de verano romance,2021-05-03,00:00:32,+0200,335012176,daniabello7,Daniel Abello Torres,,@RealBetisBasket @yndoye35 Si este tío no está renovado mañana mal haría el club. Center dominante al que le falta disfrutar la feria. Hay que quererle. Ya vamos tarde #CoosurBetis,es,[],[],[],0,1,7,['coosurbetis'],[],https://twitter.com/daniabello7/status/1388976726584315911,False,,0,,,,,,,,"[{'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}, {'screen_name': 'yndoye35', 'name': 'youssoupha ndoye', 'id': '211037693'}]",,,,
1388975250981928961,1388972333453516810,2021-05-02 23:54:40 Hora de verano romance,2021-05-02,23:54:40,+0200,856509759545016321,pepelias17_,Pepe Elías,,"🟢 Cinco de las 11 victorias que tiene el @RealBetisBasket en la presente temporada las ha sumado en los 8 últimos partidos, en los que ha protagonizado una gran reacción de la mano de Joan Plaza",es,"[{'screen_name': 'realbetisbasket', 'name': 'coosur real betis', 'id': '87921838'}]",[],[],0,3,39,[],[],https://twitter.com/Pepelias17_/status/1388975250981928961,False,,0,,,,,,,,[],,,,
1388973719821901831,1388972333453516810,2021-05-02 23:48:35 Hora de verano romance,2021-05-02,23:48:35,+0200,118127262,pakordelius,Paco Cordero,,@Pepelias17_ @Sergio10rialto @RealBetisBasket Toca asegurarla,es,[],[],[],0,0,1,[],[],https://twitter.com/pakordelius/status/1388973719821901831,False,,0,,,,,,,,"[{'screen_name': 'Pepelias17_', 'name': 'Pepe Elías', 'id': '856509759545016321'}, {'screen_name': 'Sergio10rialto', 'name': 'SSC', 'id': '822491659980144640'}, {'screen_name': 'RealBetisBasket', 'name': 'Coosur Real Betis', 'id': '87921838'}]",,,,
1388972333453516810,1388972333453516810,2021-05-02 23:43:04 Hora de verano romance,2021-05-02,23:43:04,+0200,856509759545016321,pepelias17_,Pepe Elías,,"🟢 El @RealBetisBasket, tras ganar este domingo al Manresa y la derrota luego del Estudiantes en Valencia, tiene prácticamente (aún no matemáticamente)asegurada la permanencia una temporada más en la Liga Endesa 👇",es,"[{'screen_name': 'realbetisbasket', 'name': 'coosur real betis', 'id': '87921838'}]",[],[],3,4,46,[],[],https://twitter.com/Pepelias17_/status/1388972333453516810,False,https://twitter.com/ACBCOM/status/1388950877105500160,0,,,,,,,,[],,,,
