id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1312533454634930176,1312523174706204672,2020-10-04 01:22:15 Hora de verano romance,2020-10-04,01:22:15,+0200,432932310,maria_espin_ds,Maria Espin,,@alfredofergar @MovistarEstu Muchísimas gracias 🤩💪🏼,es,[],[],[],1,0,2,[],[],https://twitter.com/maria_espin_ds/status/1312533454634930176,False,,0,,,,,,,,"[{'screen_name': 'alfredofergar', 'name': 'Fredo 🏀🐶', 'id': '486509827'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1312532079482032128,1312476663159037952,2020-10-04 01:16:48 Hora de verano romance,2020-10-04,01:16:48,+0200,807978812285784064,juanjoestu,Juanjo,,"@Lesliefknight @DementePerdido @MovistarEstu Bueno, hay jugadores que al final llegan a un club y ambos encajan como un guante, fue el caso de Pinone y es obvio que es tu mismo caso, cuando te expliquen quien ha sido en el club entenderás realmente el alcance del elogio",es,[],[],[],0,0,8,[],[],https://twitter.com/juanjoestu/status/1312532079482032128,False,,0,,,,,,,,"[{'screen_name': 'Lesliefknight', 'name': 'Leslie Faye Knight', 'id': '1376436001'}, {'screen_name': 'DementePerdido', 'name': 'DEMENTE DESCENDIDO', 'id': '550884695'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1312531291896639488,1312476663159037952,2020-10-04 01:13:40 Hora de verano romance,2020-10-04,01:13:40,+0200,247992958,elgranmarcos15,Marcos Mñz,,@Lesliefknight @DementePerdido @MovistarEstu 🙉🙉🙊🙊  Hasta que no sepas quien es no eres del Estu de verdad 😜,es,[],[],[],1,0,2,[],[],https://twitter.com/elgranmarcos15/status/1312531291896639488,False,,0,,,,,,,,"[{'screen_name': 'Lesliefknight', 'name': 'Leslie Faye Knight', 'id': '1376436001'}, {'screen_name': 'DementePerdido', 'name': 'DEMENTE DESCENDIDO', 'id': '550884695'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1312530922697187330,1312476663159037952,2020-10-04 01:12:12 Hora de verano romance,2020-10-04,01:12:12,+0200,877515752131223553,davidgcanoefem,David Gonzalez.,,@Lesliefknight @DementePerdido @MovistarEstu Es un cumplido muy muy importante Les!! Una leyenda en el club.,es,[],[],[],0,0,5,[],[],https://twitter.com/DavidGCanoeFem/status/1312530922697187330,False,,0,,,,,,,,"[{'screen_name': 'Lesliefknight', 'name': 'Leslie Faye Knight', 'id': '1376436001'}, {'screen_name': 'DementePerdido', 'name': 'DEMENTE DESCENDIDO', 'id': '550884695'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1312530829692661760,1312486247902834688,2020-10-04 01:11:50 Hora de verano romance,2020-10-04,01:11:50,+0200,1376436001,lesliefknight,Leslie Faye Knight,,@AndresTalavero @MovistarEstu @CDPromete @movistar_es Pues muchas gracias:) vamos a seguir dando guerra💪🙌👏,es,[],[],[],0,0,1,[],[],https://twitter.com/Lesliefknight/status/1312530829692661760,False,,0,,,,,,,,"[{'screen_name': 'AndresTalavero', 'name': 'Andrés Talavero Blan', 'id': '1002334526'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}, {'screen_name': 'CDPromete', 'name': 'CD Promete', 'id': '365183338'}, {'screen_name': 'movistar_es', 'name': 'Movistar España', 'id': '44992826'}]",,,,
1312530495457042432,1312476663159037952,2020-10-04 01:10:30 Hora de verano romance,2020-10-04,01:10:30,+0200,274689338,nachovetmd,Nacho Molina,,"@Lesliefknight @DementePerdido @MovistarEstu Busca, busca... Mil veces más guapa pero igual de rocosa y generosa en el trabaji.. Qué espectáculo!!!!",es,[],[],[],1,0,4,[],[],https://twitter.com/NACHOVETMD/status/1312530495457042432,False,,0,,,,,,,,"[{'screen_name': 'Lesliefknight', 'name': 'Leslie Faye Knight', 'id': '1376436001'}, {'screen_name': 'DementePerdido', 'name': 'DEMENTE DESCENDIDO', 'id': '550884695'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1312530116090621952,1312476663159037952,2020-10-04 01:08:59 Hora de verano romance,2020-10-04,01:08:59,+0200,1376436001,lesliefknight,Leslie Faye Knight,,"@DementePerdido @MovistarEstu Tendré que buscar a ver quién es John P?🤔 Es un cumplido, no?😂",es,[],[],[],10,0,31,[],[],https://twitter.com/Lesliefknight/status/1312530116090621952,False,,0,,,,,,,,"[{'screen_name': 'DementePerdido', 'name': 'DEMENTE DESCENDIDO', 'id': '550884695'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1312526786857594880,1312516314078957569,2020-10-04 00:55:46 Hora de verano romance,2020-10-04,00:55:46,+0200,784545138269978624,vitoria_leiva,Leiva Leiva,,"@pilarcasado @MeliGretter11 @CDPromete @MovistarEstu @falta_tecnica La asistencia Pilar!!! Después de esa jugada da el pase. Como Magic, la asistencia hace felices a 2.",es,[],[],[],0,0,1,[],[],https://twitter.com/vitoria_leiva/status/1312526786857594880,False,,0,,,,,,,,"[{'screen_name': 'pilarcasado', 'name': 'pilarcasado', 'id': '240175493'}, {'screen_name': 'MeliGretter11', 'name': 'Melisa Gretter', 'id': '816549781'}, {'screen_name': 'CDPromete', 'name': 'CD Promete', 'id': '365183338'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}, {'screen_name': 'falta_tecnica', 'name': 'Falta Técnica', 'id': '906507130567626753'}]",,,,
1312523174706204672,1312523174706204672,2020-10-04 00:41:25 Hora de verano romance,2020-10-04,00:41:25,+0200,486509827,alfredofergar,Fredo 🏀🐶,,"Enhorabuena a @MovistarEstu por su segunda victoria. Es una de las sensaciones de este inicio: intensidad, velocidad en el juego, corresponsabilidad en las tareas; todo ello unido a un buenrollismo que engancha. Transmite ánimos para todas @maria_espin_ds Lo estamos disfrutando.",es,"[{'screen_name': 'movistarestu', 'name': 'movistar estudiantes', 'id': '19781359'}, {'screen_name': 'maria_espin_ds', 'name': 'maria espin', 'id': '432932310'}]",[],[],2,2,14,[],[],https://twitter.com/alfredofergar/status/1312523174706204672,False,,0,,,,,,,,[],,,,
1312521764845490176,1312473787628089344,2020-10-04 00:35:48 Hora de verano romance,2020-10-04,00:35:48,+0200,432932310,maria_espin_ds,Maria Espin,,@ViejaGloria23 @MovistarEstu Soy fan de todos tus GIFs 😂,es,[],[],[],2,0,3,[],[],https://twitter.com/maria_espin_ds/status/1312521764845490176,False,,0,,,,,,,,"[{'screen_name': 'ViejaGloria23', 'name': '🏀☆ 𝑽𝒊𝒆𝒋𝒂 𝑮𝒍𝒐𝒓𝒊𝒂 ☆🏀', 'id': '878816397123518464'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
