id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1407625124824629248,1407625124824629248,2021-06-23 11:02:36 Hora de verano romance,2021-06-23,11:02:36,+0200,1352276933040594946,cedor_enrique,Enrique Cedor ❤️💛💜 🔻,,"Cualquiera en tu misma situación haría lo mismo, @ilpupazzo33. Todos buscamos lo mejor para nuestra familia y, económicamente hablando, no hay comparación. En @Baskonia tenemos claro que los jugadores vienen aquí para dar el salto a equipos más ricos. Otro mejor vendrá, seguro",es,"[{'screen_name': 'ilpupazzo33', 'name': 'achille polonara', 'id': '325804512'}, {'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}]",[],[],0,0,0,[],[],https://twitter.com/cedor_enrique/status/1407625124824629248,False,,0,,,,,,,,[],,,,
1407615804963790851,1406616545737031683,2021-06-23 10:25:34 Hora de verano romance,2021-06-23,10:25:34,+0200,1078578872977891328,dariusgaruolis,Darius Garuolis,,"@chrisalucard @Totalbasketgr @Baskonia @FBBasketbol @ilpupazzo33 29 year old 🇮🇹 center Achille Polonara of @Baskonia averages in 2020-21 #EuroLeague:  33 GAMES (29 started) 12.2 PTS (#25 in the league) 57.2 2FG%, 44.3 3FG%, 60.3 FT% 6.6 REB (#2) 1.9 AST 1.2 STL (#13) 0.9 BLK (#5) 0.9 TOV 16.5 PIR (#11) 29.8 MIN (#6)  https://t.co/DCHwE06OoC",en,"[{'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}]",[],['https://pbs.twimg.com/media/E4ja3udXoAM-BHL.jpg'],0,0,2,['euroleague'],[],https://twitter.com/DariusGaruolis/status/1407615804963790851,False,,1,https://pbs.twimg.com/media/E4ja3udXoAM-BHL.jpg,,,,,,,"[{'screen_name': 'chrisalucard', 'name': 'Christos Harpidis', 'id': '78031977'}, {'screen_name': 'Totalbasketgr', 'name': '𝐓𝐨𝐭𝐚𝐥𝐁𝐚𝐬𝐤𝐞𝐭®', 'id': '1202344053897121797'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}, {'screen_name': 'FBBasketbol', 'name': 'Fenerbahçe Beko', 'id': '272403490'}, {'screen_name': 'ilpupazzo33', 'name': 'Achille Polonara', 'id': '325804512'}]",,,,
1407613081828663299,1407613081828663299,2021-06-23 10:14:45 Hora de verano romance,2021-06-23,10:14:45,+0200,84333477,baskonia,TD Systems Baskonia,,📷✨ ¡Lo mejor del evento de ayer en imágenes! 👥  #Innovaraba ⚪️🟢,es,[],[],[],0,0,2,['innovaraba'],[],https://twitter.com/Baskonia/status/1407613081828663299,False,,0,,,,,,,,[],,,,
1407603716916715521,1407390110056910853,2021-06-23 09:37:32 Hora de verano romance,2021-06-23,09:37:32,+0200,1911787748,alvaro_beltza,Albendola,,@Alaves @Araba @vitoriagasteiz @Gob_eus @DelGobPaisVasco @jjggalava @Baskonia 💸💸💸💸💸💸,und,[],[],[],0,0,0,[],[],https://twitter.com/alvaro_beltza/status/1407603716916715521,False,,0,,,,,,,,"[{'screen_name': 'Alaves', 'name': 'Deportivo Alavés', 'id': '186055984'}, {'screen_name': 'Araba', 'name': 'Arabako Foru Aldundia-Diputación Foral de Álava', 'id': '3918151043'}, {'screen_name': 'vitoriagasteiz', 'name': 'Vitoria-Gasteiz!', 'id': '17084216'}, {'screen_name': 'Gob_eus', 'name': 'Eusko Jaurlaritza', 'id': '109309136'}, {'screen_name': 'DelGobPaisVasco', 'name': 'Delegación del Gobierno en el País Vasco', 'id': '816225640630325248'}, {'screen_name': 'jjggalava', 'name': 'Arabako Batzar Nagusiak/Juntas Generales de Álava', 'id': '543539365'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1407601652706824196,1407283612446195716,2021-06-23 09:29:20 Hora de verano romance,2021-06-23,09:29:20,+0200,476694161,asierlandaluce,Landa,,@rljavier81 @achamiann @javieranua @Baskonia Casi casi  https://t.co/3Lrcz8br4N,it,[],[],['https://pbs.twimg.com/tweet_video_thumb/E4jOPSDX0AIWiz-.jpg'],0,0,0,[],[],https://twitter.com/AsierLandaluce/status/1407601652706824196,False,,1,https://pbs.twimg.com/tweet_video_thumb/E4jOPSDX0AIWiz-.jpg,,,,,,,"[{'screen_name': 'rljavier81', 'name': 'Javier', 'id': '3931386213'}, {'screen_name': 'achamiann', 'name': 'Luis Rubio', 'id': '2718806435'}, {'screen_name': 'javieranua', 'name': 'Xabier Añua', 'id': '540621707'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1407599946526822400,1407283612446195716,2021-06-23 09:22:33 Hora de verano romance,2021-06-23,09:22:33,+0200,3931386213,rljavier81,Javier,,@AsierLandaluce @achamiann @javieranua @Baskonia Como tu a su edad ;),es,[],[],[],1,1,1,[],[],https://twitter.com/rljavier81/status/1407599946526822400,False,,0,,,,,,,,"[{'screen_name': 'AsierLandaluce', 'name': 'Landa', 'id': '476694161'}, {'screen_name': 'achamiann', 'name': 'Luis Rubio', 'id': '2718806435'}, {'screen_name': 'javieranua', 'name': 'Xabier Añua', 'id': '540621707'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1407599246866518017,1407599246866518017,2021-06-23 09:19:47 Hora de verano romance,2021-06-23,09:19:47,+0200,1019958464800542721,alavesistas,Alavesistas en U.K.,,"RT Alaves ""📸 Foto de familia 📸   ▪️ @Araba   ▪️ @vitoriagasteiz  ▪️ @Gob_eus  ▪️ @DelGobPaisVasco  ▪️ @jjggalava  ▪️ @Baskonia - @Alaves   #Innovaraba ⚪🟢  https://t.co/mKH5IjC5Br""",pt,"[{'screen_name': 'araba', 'name': 'arabako foru aldundia-diputación foral de álava', 'id': '3918151043'}, {'screen_name': 'vitoriagasteiz', 'name': 'vitoria-gasteiz!', 'id': '17084216'}, {'screen_name': 'gob_eus', 'name': 'eusko jaurlaritza', 'id': '109309136'}, {'screen_name': 'delgobpaisvasco', 'name': 'delegación del gobierno en el país vasco', 'id': '816225640630325248'}, {'screen_name': 'jjggalava', 'name': 'arabako batzar nagusiak/juntas generales de álava', 'id': '543539365'}, {'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}, {'screen_name': 'alaves', 'name': 'deportivo alavés', 'id': '186055984'}]",[],['https://pbs.twimg.com/media/E4gN0iUWUAQbJEm.jpg'],0,0,0,['innovaraba'],[],https://twitter.com/alavesistas/status/1407599246866518017,False,,1,https://pbs.twimg.com/media/E4gN0iUWUAQbJEm.jpg,,,,,,,[],,,,
1407585641010020352,1407585636853424128,2021-06-23 08:25:43 Hora de verano romance,2021-06-23,08:25:43,+0200,2637501342,etxenike_,Asier Etxenike,,"Baskoni-Alaves taldeak kanpora begira duen proiekzioaz gain, Gasteizen eta Arabako gazteen artean sekulako eragina du. Ba...  @baskonia ren twitterrean azken 40 mezuetatik 39 gaztelaniaz, 1 euskaraz. Gazteei begira azken egunetan programatuta duten guztia, gaztelaniaz da.",eu,"[{'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}]",[],[],1,0,0,[],[],https://twitter.com/Etxenike_/status/1407585641010020352,False,,0,,,,,,,,[],,,,
1407585636853424128,1407585636853424128,2021-06-23 08:25:42 Hora de verano romance,2021-06-23,08:25:42,+0200,2637501342,etxenike_,Asier Etxenike,,"Atzo aurkeztu zuten Innovaraba. @baskonia @alaves taldearen proiektu pribatu bat, zeini 33 milloi euro publiko emango omen zaizkion. Bestelako balorazioetan sartu gabe, hainbeste diru publiko emanda aukerarik egongo da haien hizkuntza politiketan eragiteko ba?!",eu,"[{'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}, {'screen_name': 'alaves', 'name': 'deportivo alavés', 'id': '186055984'}]",[],[],1,9,10,[],[],https://twitter.com/Etxenike_/status/1407585636853424128,False,,0,,,,,,,,[],,,,
1407455889557184525,1407455889557184525,2021-06-22 23:50:07 Hora de verano romance,2021-06-22,23:50:07,+0200,109965991,jull2000,Jull Roc,,"@jull2000 Presentación del Proyecto empresarial impulsado por el grupo Baskonia-Alavés, INNOVARABA @vitoriagasteiz @Baskonia @Alaves   https://t.co/Dn2hBTc8DS  https://t.co/p1aAMgBva8",es,"[{'screen_name': 'vitoriagasteiz', 'name': 'vitoria-gasteiz!', 'id': '17084216'}, {'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}, {'screen_name': 'alaves', 'name': 'deportivo alavés', 'id': '186055984'}]",['https://www.facebook.com/jull.roc/posts/4487672634585195'],"['https://pbs.twimg.com/media/E4hJfAOWEAEp_on.jpg', 'https://pbs.twimg.com/media/E4hJfAMXEAMZ1oA.jpg', 'https://pbs.twimg.com/media/E4hJfARXIAE8L81.jpg', 'https://pbs.twimg.com/media/E4hJfAKXoAIyL39.jpg']",0,0,1,[],[],https://twitter.com/jull2000/status/1407455889557184525,False,,1,https://pbs.twimg.com/media/E4hJfAOWEAEp_on.jpg,,,,,,,[],,,,
1407441377319964675,1407283612446195716,2021-06-22 22:52:28 Hora de verano romance,2021-06-22,22:52:28,+0200,440252237,pozovic,Pozo,,@achamiann @javieranua @Baskonia Billete y para Vitoria-Gasteiz!!! Que estamos faltos de talento ahora mismo...,es,[],[],[],0,0,1,[],[],https://twitter.com/Pozovic/status/1407441377319964675,False,,0,,,,,,,,"[{'screen_name': 'achamiann', 'name': 'Luis Rubio', 'id': '2718806435'}, {'screen_name': 'javieranua', 'name': 'Xabier Añua', 'id': '540621707'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1407438235446427654,1407283612446195716,2021-06-22 22:39:58 Hora de verano romance,2021-06-22,22:39:58,+0200,458287713,torpeman,Torpeman,,@achamiann @Baskonia Pintaza pintaza!!!,es,[],[],[],0,0,1,[],[],https://twitter.com/Torpeman/status/1407438235446427654,False,,0,,,,,,,,"[{'screen_name': 'achamiann', 'name': 'Luis Rubio', 'id': '2718806435'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
1407435824006893581,1407283612446195716,2021-06-22 22:30:23 Hora de verano romance,2021-06-22,22:30:23,+0200,476694161,asierlandaluce,Landa,,@achamiann @javieranua @Baskonia Qué clase 🔥,es,[],[],[],0,0,1,[],[],https://twitter.com/AsierLandaluce/status/1407435824006893581,False,,0,,,,,,,,"[{'screen_name': 'achamiann', 'name': 'Luis Rubio', 'id': '2718806435'}, {'screen_name': 'javieranua', 'name': 'Xabier Añua', 'id': '540621707'}, {'screen_name': 'Baskonia', 'name': 'TD Systems Baskonia', 'id': '84333477'}]",,,,
