id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1407625957872111619,1407625957872111619,2021-06-23 11:05:55 Hora de verano romance,2021-06-23,11:05:55,+0200,19781359,movistarestu,Movistar Estudiantes,,OFICIAL: Jota Cuspinera @jotacuspi renueva con @movistar_es Estudiantes.  El técnico seguirá dirigiendo al primer equipo masculino.   https://t.co/jH992eSN78  #MovistarEstudiantes  https://t.co/c0zx6EULnB,es,"[{'screen_name': 'jotacuspi', 'name': 'jota cuspinera', 'id': '290036934'}, {'screen_name': 'movistar_es', 'name': 'movistar españa', 'id': '44992826'}]",['https://movistarestudiantes.com/liga-endesa/altas-bajas/jota-cuspinera-sera-el-entrenador-de-movistar-estudiantes/'],['https://pbs.twimg.com/media/E4jkV0tXoAAs55Q.jpg'],0,0,2,['movistarestudiantes'],[],https://twitter.com/MovistarEstu/status/1407625957872111619,False,,1,https://pbs.twimg.com/media/E4jkV0tXoAAs55Q.jpg,,,,,,,[],,,,
1407624459121483777,1407624459121483777,2021-06-23 10:59:58 Hora de verano romance,2021-06-23,10:59:58,+0200,1205126862,apde_eu,APDE,,"Espín: ""No va a afectar absolutamente en nada a nosotras” (el descenso del Estudiantes Masculino)  Entrevista para @ha10tv con @maria_espin_ds, jugadora del @MovistarEstu Femenino. Cuenta el balance de la temporada del Estudiantes... (Ver video)   https://t.co/2uY9yWk2pg",es,"[{'screen_name': 'ha10tv', 'name': 'ha10 tv', 'id': '1062939152'}, {'screen_name': 'maria_espin_ds', 'name': 'maria espin', 'id': '432932310'}, {'screen_name': 'movistarestu', 'name': 'movistar estudiantes', 'id': '19781359'}]",['http://www.ha10.es/junio-2021.html#espinnova'],[],0,0,0,[],[],https://twitter.com/apde_eu/status/1407624459121483777,False,,0,,,,,,,,[],,,,
1407624228862562305,1407306735543586821,2021-06-23 10:59:03 Hora de verano romance,2021-06-23,10:59:03,+0200,310472217,nachobsola,Felipe Picatoste 🇨🇦,,@pedrorobles_6 @MovistarEstu @shaun_vandiver @chandlert4 @OCRTVE @ACBCOM Si sabía yo. 😂 Entre tu parka y la Lambretta de Antúnez... 😂😂,es,[],[],[],0,0,0,[],[],https://twitter.com/nachobsola/status/1407624228862562305,False,,0,,,,,,,,"[{'screen_name': 'pedrorobles_6', 'name': 'Pedro Robles', 'id': '879082246568894464'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}, {'screen_name': 'shaun_vandiver', 'name': 'Shaun Vandiver', 'id': '290087088'}, {'screen_name': 'chandlert4', 'name': 'Chandler Thompson', 'id': '252414666'}, {'screen_name': 'OCRTVE', 'name': 'Orquesta y Coro RTVE', 'id': '197739265'}, {'screen_name': 'ACBCOM', 'name': 'Liga Endesa', 'id': '42856346'}]",,,,
1407624157312000001,1407624157312000001,2021-06-23 10:58:46 Hora de verano romance,2021-06-23,10:58:46,+0200,19781359,movistarestu,Movistar Estudiantes,,🖥  https://t.co/QXYSb9zwDq,und,[],[],[],0,0,14,[],[],https://twitter.com/MovistarEstu/status/1407624157312000001,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1407624103306092547/pu/img/bWlFEqRXcOojvJcd.jpg,,,,,,,[],,,,
1407620153668521986,1407618428224036866,2021-06-23 10:42:51 Hora de verano romance,2021-06-23,10:42:51,+0200,529466445,espaldotas,Maximo Cozzetti 🌍,,@MovistarEstu JOTA,eu,[],[],[],0,0,1,[],[],https://twitter.com/espaldotas/status/1407620153668521986,False,,0,,,,,,,,"[{'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1407620003818528769,1407618428224036866,2021-06-23 10:42:15 Hora de verano romance,2021-06-23,10:42:15,+0200,476796258,txavalin,txavalin,,@MovistarEstu Renueva J Cuspinera?,es,[],[],[],0,0,0,[],[],https://twitter.com/txavalin/status/1407620003818528769,False,,0,,,,,,,,"[{'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1407619549567062019,1407618428224036866,2021-06-23 10:40:27 Hora de verano romance,2021-06-23,10:40:27,+0200,1233379792294203392,misimags,MISIMAGS,,@MovistarEstu Jota Es renovado el líder de los toreros muertos... Desde el sótano re-bienvenido. @jotacuspi  https://t.co/54qFswZU35,es,"[{'screen_name': 'jotacuspi', 'name': 'jota cuspinera', 'id': '290036934'}]",[],['https://pbs.twimg.com/media/E4jehRPX0AEYL5Z.jpg'],0,0,0,[],[],https://twitter.com/MISIMAGS/status/1407619549567062019,False,,1,https://pbs.twimg.com/media/E4jehRPX0AEYL5Z.jpg,,,,,,,"[{'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1407618900406280193,1407618428224036866,2021-06-23 10:37:52 Hora de verano romance,2021-06-23,10:37:52,+0200,1114068494700691457,albertodetal,Alberto CD,,@MovistarEstu Vuelve JJ Barea??  https://t.co/YiRXicOCGE,es,[],[],['https://pbs.twimg.com/tweet_video_thumb/E4jd7OmWEAIbW_v.jpg'],0,0,1,[],[],https://twitter.com/AlbertoDeTal/status/1407618900406280193,False,,1,https://pbs.twimg.com/tweet_video_thumb/E4jd7OmWEAIbW_v.jpg,,,,,,,"[{'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}]",,,,
1407618428224036866,1407618428224036866,2021-06-23 10:36:00 Hora de verano romance,2021-06-23,10:36:00,+0200,19781359,movistarestu,Movistar Estudiantes,,¿Cómo se llama el líder de este grupo?   https://t.co/7X1u6kLzZn,es,[],['https://www.youtube.com/watch?v=1BVP72VrGQs'],[],4,0,2,[],[],https://twitter.com/MovistarEstu/status/1407618428224036866,False,,0,,,,,,,,[],,,,
1407612280133595137,1407441027364012042,2021-06-23 10:11:34 Hora de verano romance,2021-06-23,10:11:34,+0200,17420231,rmatamor,Rafel Matamoros,,"@JorgeCa92309950 @FCBbasket_fem @MovistarEstu @JoanLaportaFCB En esto del deporte de FORMACIÓN, FCB incluido, he llegado a conocer gente muy toxica, luego estaría la gente como tú. Felicitats per la bona campanya equip!",es,[],[],[],0,0,0,[],[],https://twitter.com/rmatamor/status/1407612280133595137,False,,0,,,,,,,,"[{'screen_name': 'JorgeCa92309950', 'name': 'Jorge Campos', 'id': '1370222986473697283'}, {'screen_name': 'FCBbasket_fem', 'name': 'Barça CBS', 'id': '2268549379'}, {'screen_name': 'MovistarEstu', 'name': 'Movistar Estudiantes', 'id': '19781359'}, {'screen_name': 'JoanLaportaFCB', 'name': 'Joan Laporta Estruch🎗', 'id': '112451668'}]",,,,
