id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1407623621938384896,1407608753315368960,2021-06-23 10:56:38 Hora de verano romance,2021-06-23,10:56:38,+0200,1254862709000110081,joeletdm97,Joel D.,,@mobuma91 @morabancandorra MAI POR!,pt,[],[],[],0,0,0,[],[],https://twitter.com/joeletdm97/status/1407623621938384896,False,,0,,,,,,,,"[{'screen_name': 'mobuma91', 'name': 'Manel MB', 'id': '230472093'}, {'screen_name': 'morabancandorra', 'name': 'MoraBancAndorra', 'id': '76587843'}]",,,,
1407620715252228100,1406713049571074053,2021-06-23 10:45:05 Hora de verano romance,2021-06-23,10:45:05,+0200,344812876,officialdifusor,Difusor,,@morabancandorra @CBBreogan @SalvArco Gracias 💙,es,[],[],[],0,0,0,[],[],https://twitter.com/officialdifusor/status/1407620715252228100,False,,0,,,,,,,,"[{'screen_name': 'morabancandorra', 'name': 'MoraBancAndorra', 'id': '76587843'}, {'screen_name': 'CBBreogan', 'name': 'Río Breogán', 'id': '251356688'}, {'screen_name': 'SalvArco', 'name': 'Salva Arco Frias', 'id': '210401042'}]",,,,
1407612884369219584,1407608753315368960,2021-06-23 10:13:58 Hora de verano romance,2021-06-23,10:13:58,+0200,230472093,mobuma91,Manel MB,,"@joeletdm97 Com dirien per Andorra, que la setmana passada vam anar... #MaiPor! @morabancandorra",ca,"[{'screen_name': 'morabancandorra', 'name': 'morabancandorra', 'id': '76587843'}]",[],[],1,0,1,['maipor'],[],https://twitter.com/mobuma91/status/1407612884369219584,False,,0,,,,,,,,"[{'screen_name': 'joeletdm97', 'name': 'Joel D.', 'id': '1254862709000110081'}]",,,,
1407603190430941184,1407603190430941184,2021-06-23 09:35:27 Hora de verano romance,2021-06-23,09:35:27,+0200,76587843,morabancandorra,MoraBancAndorra,,🏀♥️ GENT DEL BÀSQUET...😍🏀 ➡️ TOTHOM EN MANADA A VOTAR LA NÚMERO 7‼️🔥 @AndorraCapital 👏 #SomUnPais,ca,"[{'screen_name': 'andorracapital', 'name': 'andorra la vella', 'id': '4891307853'}]",[],[],0,2,2,['somunpais'],[],https://twitter.com/morabancandorra/status/1407603190430941184,False,https://twitter.com/AndorraCapital/status/1407390929384841226,0,,,,,,,,[],,,,
1407434008569552896,1406713049571074053,2021-06-22 22:23:11 Hora de verano romance,2021-06-22,22:23:11,+0200,1023665031228141568,mikemorandeiraf,Miguel Morandeira Fernández,,@morabancandorra @SalvArco @CBBreogan 💙,und,[],[],[],0,0,0,[],[],https://twitter.com/MikeMorandeiraF/status/1407434008569552896,False,,0,,,,,,,,"[{'screen_name': 'morabancandorra', 'name': 'MoraBancAndorra', 'id': '76587843'}, {'screen_name': 'SalvArco', 'name': 'Salva Arco Frias', 'id': '210401042'}, {'screen_name': 'CBBreogan', 'name': 'Río Breogán', 'id': '251356688'}]",,,,
1407387840565190657,1407387840565190657,2021-06-22 19:19:43 Hora de verano romance,2021-06-22,19:19:43,+0200,252611283,coachtxetxi,ByourF Basketball Program,,Muy 🔝🏀🇦🇩 saborea señor!!! @jluisllorente @morabancandorra ⛹🏻‍♂️🏋️‍♀️🏃‍♂️ #tbt #nooblidisdonvens #trusttheorocess,es,"[{'screen_name': 'jluisllorente', 'name': 'josé luis llorente', 'id': '2778301129'}, {'screen_name': 'morabancandorra', 'name': 'morabancandorra', 'id': '76587843'}]",[],[],0,0,2,"['tbt', 'nooblidisdonvens', 'trusttheorocess']",[],https://twitter.com/CoachTxetxi/status/1407387840565190657,False,https://twitter.com/jluisllorente/status/1407383589373812740,0,,,,,,,,[],,,,
1407355233525809156,1407309026019450881,2021-06-22 17:10:09 Hora de verano romance,2021-06-22,17:10:09,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,@morabancandorra  https://t.co/iquCCCzrDt,und,[],[],['https://pbs.twimg.com/media/E4fuH-OWEAEU0XR.jpg'],0,1,11,[],[],https://twitter.com/bilbaobasket/status/1407355233525809156,False,,1,https://pbs.twimg.com/media/E4fuH-OWEAEU0XR.jpg,,,,,,,[],,,,
1407351850014289945,1407309026019450881,2021-06-22 16:56:43 Hora de verano romance,2021-06-22,16:56:43,+0200,76587843,morabancandorra,MoraBancAndorra,,@bilbaobasket Este os lo ha recomendado Azkargorta.,es,[],[],[],1,1,33,[],[],https://twitter.com/morabancandorra/status/1407351850014289945,False,,0,,,,,,,,"[{'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}]",,,,
1407303493661175812,1407303493661175812,2021-06-22 13:44:33 Hora de verano romance,2021-06-22,13:44:33,+0200,1691823902,penhabreogan,Peña Breogán,,O BREO XA ESTÁ AQUÍ! 🔥🦁  @ACBCOM @FCBbasket @RMBaloncesto @CB1939Canarias @valenciabasket @Baskonia @SanPabloBurgos @Penya1930 @GranCanariaCB @unicajaCB @BasquetManresa @morabancandorra @UCAMMurcia @CasademontZGZ @OBRADOIROCAB @BFuenlabrada  @RealBetisBasket @bilbaobasket  https://t.co/gSpIy6rHna,es,"[{'screen_name': 'acbcom', 'name': 'liga endesa', 'id': '42856346'}, {'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'rmbaloncesto', 'name': 'real madrid basket', 'id': '1147824680'}, {'screen_name': 'cb1939canarias', 'name': 'lenovo tenerife', 'id': '344818796'}, {'screen_name': 'valenciabasket', 'name': 'valencia basket club', 'id': '110550234'}, {'screen_name': 'baskonia', 'name': 'td systems baskonia', 'id': '84333477'}, {'screen_name': 'sanpabloburgos', 'name': 'hereda san pablo burgos', 'id': '3537340217'}, {'screen_name': 'penya1930', 'name': 'club joventut badalona', 'id': '249090832'}, {'screen_name': 'grancanariacb', 'name': 'herbalife gran canaria', 'id': '153428787'}, {'screen_name': 'unicajacb', 'name': 'unicajacb', 'id': '244419160'}, {'screen_name': 'basquetmanresa', 'name': 'baxi manresa', 'id': '191111959'}, {'screen_name': 'morabancandorra', 'name': 'morabancandorra', 'id': '76587843'}, {'screen_name': 'ucammurcia', 'name': 'ucam murcia', 'id': '82158985'}, {'screen_name': 'casademontzgz', 'name': 'casademont zaragoza', 'id': '477693359'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}, {'screen_name': 'bfuenlabrada', 'name': 'urbas fuenlabrada', 'id': '319096382'}, {'screen_name': 'realbetisbasket', 'name': 'coosur real betis', 'id': '87921838'}, {'screen_name': 'bilbaobasket', 'name': 'retabet bilbao basket 😎', 'id': '68645725'}]",[],['https://pbs.twimg.com/media/E4e_EBEXEAUFOG2.jpg'],0,2,49,[],[],https://twitter.com/PenhaBreogan/status/1407303493661175812,False,,1,https://pbs.twimg.com/media/E4e_EBEXEAUFOG2.jpg,,,,,,,[],,,,
1407295718319169537,1407295718319169537,2021-06-22 13:13:40 Hora de verano romance,2021-06-22,13:13:40,+0200,76587843,morabancandorra,MoraBancAndorra,,LA 4️⃣‼️ 🔥 Hannah- @Toonday_07  #MaiPor,en,"[{'screen_name': 'toonday_07', 'name': 'tunde', 'id': '308695939'}]",[],[],0,0,4,['maipor'],[],https://twitter.com/morabancandorra/status/1407295718319169537,False,https://twitter.com/ACBCOM/status/1407281206350188547,0,,,,,,,,[],,,,
