id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1378476829879730182,1378406279698350084,2021-04-04 00:37:41 Hora de verano romance,2021-04-04,00:37:41,+0200,1585773074,revilla999,Miguel,,@Deabruak_BB @bilbaobasket Balvin,en,[],[],[],1,0,1,[],[],https://twitter.com/revilla999/status/1378476829879730182,False,,0,,,,,,,,"[{'screen_name': 'Deabruak_BB', 'name': 'Deabruak BB', 'id': '422621545'}, {'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}]",,,,
1378475835863265280,1378460949410156546,2021-04-04 00:33:44 Hora de verano romance,2021-04-04,00:33:44,+0200,703530709219209216,bilbaokao,kakikao,,@bilbaobasket @RealSociedad @loloencinas Preocuparos de salvar la categoría y que el próximo año podamos disfrutar de BB en ACB,es,[],[],[],0,0,0,[],[],https://twitter.com/bilbaokao/status/1378475835863265280,False,,0,,,,,,,,"[{'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}, {'screen_name': 'RealSociedad', 'name': 'Real Sociedad Fútbol', 'id': '390545466'}, {'screen_name': 'loloencinas', 'name': 'Lorenzo Encinas', 'id': '718873021'}]",,,,
1378474306460655616,1378460949410156546,2021-04-04 00:27:40 Hora de verano romance,2021-04-04,00:27:40,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,@loloencinas @RealSociedad Goazen!! 💪,eu,[],[],[],0,0,2,[],[],https://twitter.com/bilbaobasket/status/1378474306460655616,False,,0,,,,,,,,"[{'screen_name': 'loloencinas', 'name': 'Lorenzo Encinas', 'id': '718873021'}, {'screen_name': 'RealSociedad', 'name': 'Real Sociedad Fútbol', 'id': '390545466'}]",,,,
1378473923667492865,1378460949410156546,2021-04-04 00:26:08 Hora de verano romance,2021-04-04,00:26:08,+0200,718873021,loloencinas,Lorenzo Encinas,,@bilbaobasket @RealSociedad Eskerrik asko.  Vamos MIB 💪🏻😎,et,[],[],[],1,0,13,[],[],https://twitter.com/loloencinas/status/1378473923667492865,False,,0,,,,,,,,"[{'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}, {'screen_name': 'RealSociedad', 'name': 'Real Sociedad Fútbol', 'id': '390545466'}]",,,,
1378472597814411267,1378472597814411267,2021-04-04 00:20:52 Hora de verano romance,2021-04-04,00:20:52,+0200,1304560135784849410,esportgironi,Esport Gironí,,BÀSQUET-El gironí @Yankusima (21 punts i 5 rebots) i el llagosterenc @GjouC (4 punts i 1 rebot) han col·laborat en la victòria del @BasquetManresa per 96-108 contra el @bilbaobasket en la 29a jornada de la #LigaEndesa,ca,"[{'screen_name': 'yankusima', 'name': 'yankuba sima fatty', 'id': '2496464554'}, {'screen_name': 'gjouc', 'name': 'guillem jou', 'id': '624223326'}, {'screen_name': 'basquetmanresa', 'name': 'baxi manresa', 'id': '191111959'}, {'screen_name': 'bilbaobasket', 'name': 'retabet bilbao basket 😎', 'id': '68645725'}]",[],[],0,0,1,['ligaendesa'],[],https://twitter.com/EsportGironi/status/1378472597814411267,False,,0,,,,,,,,[],,,,
1378471959370027012,1378376863773569026,2021-04-04 00:18:20 Hora de verano romance,2021-04-04,00:18:20,+0200,253718164,ander_ugarte89,Ander Ugarte,,@fe67fec6bcae46c @chemadelucas @bilbaobasket Dos derrotas como dos soles,es,[],[],[],0,0,2,[],[],https://twitter.com/ander_ugarte89/status/1378471959370027012,False,,0,,,,,,,,"[{'screen_name': 'fe67fec6bcae46c', 'name': 'Armi inquinado', 'id': '2368381893'}, {'screen_name': 'chemadelucas', 'name': 'Chema de Lucas', 'id': '103710949'}, {'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}]",,,,
1378469406481715202,1378465901746520065,2021-04-04 00:08:11 Hora de verano romance,2021-04-04,00:08:11,+0200,2266307916,ixne5mone,ixone sarachaga mone,,@loloencinas Enhorabuena lolo eso si no te pases con los vaciles jeje que eso si hay que seguir trabajando duro con @bilbaobasket,es,"[{'screen_name': 'bilbaobasket', 'name': 'retabet bilbao basket 😎', 'id': '68645725'}]",[],[],0,0,1,[],[],https://twitter.com/Ixne5Mone/status/1378469406481715202,False,,0,,,,,,,,"[{'screen_name': 'loloencinas', 'name': 'Lorenzo Encinas', 'id': '718873021'}]",,,,
1378465034406395904,1378390077424951303,2021-04-03 23:50:49 Hora de verano romance,2021-04-03,23:50:49,+0200,2604538960,sobrinoguiller1,Guille,,@7LARRA7 @bilbaobasket O apretamos en defensa o somos LEB  . El tiempo se va acabando.,es,[],[],[],0,0,1,[],[],https://twitter.com/sobrinoguiller1/status/1378465034406395904,False,,0,,,,,,,,"[{'screen_name': '7LARRA7', 'name': 'Jon Larrauri', 'id': '242595415'}, {'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}]",,,,
1378462535247089664,1378393038846894086,2021-04-03 23:40:53 Hora de verano romance,2021-04-03,23:40:53,+0200,703987609790455808,alf19690630,Alf,,@bilbaobasket @CocaCola_es El pequeño gran Rafa Martínez,es,[],[],[],0,0,0,[],[],https://twitter.com/Alf19690630/status/1378462535247089664,False,,0,,,,,,,,"[{'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}, {'screen_name': 'CocaCola_es', 'name': 'Coca-Cola España', 'id': '42046651'}]",,,,
1378462256342650885,1378393038846894086,2021-04-03 23:39:47 Hora de verano romance,2021-04-03,23:39:47,+0200,140574431,irinarf,ｉRｉｎａ ⚓   ツ,,@bilbaobasket @CocaCola_es Rafa Martínez,es,[],[],[],0,0,0,[],[],https://twitter.com/IrinaRF/status/1378462256342650885,False,,0,,,,,,,,"[{'screen_name': 'bilbaobasket', 'name': 'RETAbet Bilbao Basket 😎', 'id': '68645725'}, {'screen_name': 'CocaCola_es', 'name': 'Coca-Cola España', 'id': '42046651'}]",,,,
