id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1318701592963616775,1318701592963616775,2020-10-21 01:52:14 Hora de verano romance,2020-10-21,01:52:14,+0200,770378103868760064,debandejabasket,De Bandeja Basket,,"🔥 @BolmaroLeandro jugó un partidazo y fue clave para que @FCBbasket vuelva a la victoria en la @ACBCOM  👉🏻 El cordobés, que fue el mejor pasador del encuentro, logró sus mejores marcas personales de asistencias, robos y valoración  La info:  https://t.co/GF2phgXjc9  https://t.co/wOgCFMwRMO",es,"[{'screen_name': 'bolmaroleandro', 'name': 'leandro bolmaro', 'id': '883774444656898049'}, {'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'acbcom', 'name': 'liga endesa', 'id': '42856346'}]",['http://debandejabasket.com/leandro-bolmaro-la-rompio-con-record-personal-incluido-y-barcelona-volvio-al-triunfo-en-la-liga-endesa/'],"['https://pbs.twimg.com/media/Ekz3-sIWAAEjiGV.jpg', 'https://pbs.twimg.com/media/Ekz3_xyXIAIQNDT.jpg']",0,3,7,[],[],https://twitter.com/debandejabasket/status/1318701592963616775,False,,1,https://pbs.twimg.com/media/Ekz3-sIWAAEjiGV.jpg,,,,,,,[],,,,
1318701500269531139,1318701500269531139,2020-10-21 01:51:52 Hora de verano romance,2020-10-21,01:51:52,+0200,30580327,basquetplus,Básquet Plus,,"El mago Bolmaro y su concierto ante el Gipuzkoa: 10 asistencias, una mejor que otra; VIDEO:  https://t.co/001DdVJcfq #acb  @FCBbasket  https://t.co/IgvfNPvsZD",es,"[{'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}]",['https://basquetplus.com/mago-leandro-bolmaro-barcelona-gipuzkoa-acb-asistencias'],['https://pbs.twimg.com/media/Ekz4AyfXUAM3ATL.png'],0,2,8,['acb'],[],https://twitter.com/basquetplus/status/1318701500269531139,False,,1,https://pbs.twimg.com/media/Ekz4AyfXUAM3ATL.png,,,,,,,[],,,,
1318693743457951747,1318693743457951747,2020-10-21 01:21:03 Hora de verano romance,2020-10-21,01:21:03,+0200,374133604,gentedebasquet,Gente de Básquet,,"#LigaEndesa 🇪🇸 - Fecha #4: @FCBbasket (4-1) 87-60 @gipuzkoabasket (1-4).  🔹 @lfaggiano12 &gt; 7pts (0/1 t3, 3/6 t2, 1/1 t1), 2reb, 4as, 4rob, 1pe, 15m06 🔹 @BolmaroLeandro (ex @bahiabasket) &gt; 8pts, 10as, 3rob, 27m05 👇  https://t.co/VISNWNERSh",en,"[{'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}, {'screen_name': 'lfaggiano12', 'name': 'lucas faggiano', 'id': '127952179'}, {'screen_name': 'bolmaroleandro', 'name': 'leandro bolmaro', 'id': '883774444656898049'}, {'screen_name': 'bahiabasket', 'name': '@bahiabasket (desde 🏡)', 'id': '186797477'}]",[],[],0,0,3,['ligaendesa'],[],https://twitter.com/GenteDeBasquet/status/1318693743457951747,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1318692666889175041/pu/img/5_g82FP1T4mbkyQu.jpg,,,,,,,[],,,,
1318676933949927432,1318676933949927432,2020-10-21 00:14:15 Hora de verano romance,2020-10-21,00:14:15,+0200,300484509,noeliadeniz,Noelia Déniz,,📷 | Imágenes del @FCBbasket 87-60 @gipuzkoabasket este martes en el Palau Blaugrana 🏀   Partido 2⃣0⃣0⃣ para @alexabrines en @ACBCOM    #FCB  #baloncesto  https://t.co/YnxcoSdC9Z,es,"[{'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}, {'screen_name': 'alexabrines', 'name': 'alex abrines', 'id': '326985786'}, {'screen_name': 'acbcom', 'name': 'liga endesa', 'id': '42856346'}]",[],"['https://pbs.twimg.com/media/EkzhMKkXIAUwpQc.jpg', 'https://pbs.twimg.com/media/EkzhP0eWkAYaDax.jpg', 'https://pbs.twimg.com/media/EkzhQ3CXYAETl5d.jpg', 'https://pbs.twimg.com/media/EkzhSckX0AMMDS7.jpg']",0,1,6,"['fcb', 'baloncesto']",[],https://twitter.com/noeliadeniz/status/1318676933949927432,False,,1,https://pbs.twimg.com/media/EkzhMKkXIAUwpQc.jpg,,,,,,,[],,,,
1318674940032331777,1318674940032331777,2020-10-21 00:06:20 Hora de verano romance,2020-10-21,00:06:20,+0200,716702467690479616,fcbvavel,FC Barcelona VAVEL,,📷 | Algunas de las imágenes que nos dejó la holgada victoria del @FCBbasket sobre el @gipuzkoabasket (87-60) este martes en el Palau Blaugrana.  Alex Abrines alcanzó la cifra de 2️⃣0️⃣0️⃣ partidos en #ACB 🏀  #FCBbasket #baloncesto  https://t.co/T5yQzilCHi,es,"[{'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}]",[],"['https://pbs.twimg.com/media/Ekzf3aDXUAAU-4f.jpg', 'https://pbs.twimg.com/media/Ekzf3aHW0AEYD49.jpg', 'https://pbs.twimg.com/media/Ekzf3aHXIAEvBsH.jpg', 'https://pbs.twimg.com/media/Ekzf3aEWkAAJC1F.jpg']",0,0,2,"['acb', 'fcbbasket', 'baloncesto']",[],https://twitter.com/FCBVAVEL/status/1318674940032331777,False,,1,https://pbs.twimg.com/media/Ekzf3aDXUAAU-4f.jpg,,,,,,,[],,,,
1318674707634409478,1318674707634409478,2020-10-21 00:05:24 Hora de verano romance,2020-10-21,00:05:24,+0200,245292945,lesportiucat,L'Esportiu,,Portada @lesportiuCAT Amb l'estrena del @FCBarcelona_cat  en  @ChampionsLeague  SOMRIURE ÉS FÀCIL i @Penya1930 @FCBbasket @RCDEspanyol @CESabadell @GironaFC @lavuelta @giroditalia  https://t.co/4P7Qeb4d7L,ca,"[{'screen_name': 'lesportiucat', 'name': ""l'esportiu"", 'id': '245292945'}, {'screen_name': 'fcbarcelona_cat', 'name': 'fc barcelona', 'id': '14727959'}, {'screen_name': 'championsleague', 'name': 'uefa champions league', 'id': '627673190'}, {'screen_name': 'penya1930', 'name': 'club joventut badalona', 'id': '249090832'}, {'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'rcdespanyol', 'name': 'rcd espanyol de barcelona', 'id': '114516774'}, {'screen_name': 'cesabadell', 'name': 'ce sabadell', 'id': '40275914'}, {'screen_name': 'gironafc', 'name': 'girona fc 9️⃣0️⃣🎂', 'id': '198141246'}, {'screen_name': 'lavuelta', 'name': 'la vuelta', 'id': '280414653'}, {'screen_name': 'giroditalia', 'name': ""giro d'italia"", 'id': '174964320'}]",[],['https://pbs.twimg.com/media/EkzfoUgWkAIE74f.jpg'],1,10,24,[],[],https://twitter.com/lesportiuCAT/status/1318674707634409478,False,,1,https://pbs.twimg.com/media/EkzfoUgWkAIE74f.jpg,,,,,,,[],,,,
1318673715341742080,1318673715341742080,2020-10-21 00:01:28 Hora de verano romance,2020-10-21,00:01:28,+0200,3440088262,dcgipuzkoa,@DeportesCOPEGipuzkoa,,| ⛹️‍♂️ BALONCESTO | 🏆#LigaEndesa   📍   Palau Blaugrana  📌 Jornada 3  ⌚ FINAL  @FCBbasket 87 🆚 @gipuzkoabasket  60  #AcunsaGBC  📸 @gipuzkoabasket  https://t.co/ByoakmwFIY,ca,"[{'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}, {'screen_name': 'gipuzkoabasket', 'name': 'acunsa gipuzkoa basket', 'id': '78827783'}]",[],['https://pbs.twimg.com/media/EkzewUtXEAEM9If.jpg'],0,0,0,"['ligaendesa', 'acunsagbc']",[],https://twitter.com/DCGipuzkoa/status/1318673715341742080,False,,1,https://pbs.twimg.com/media/EkzewUtXEAEM9If.jpg,,,,,,,[],,,,
1318673500610170881,1318673500610170881,2020-10-21 00:00:36 Hora de verano romance,2020-10-21,00:00:36,+0200,566472709,kingkk_14,Kyle Kuric,,Team win at home! Best part was to shoot after with the kids! 🔥🔥🔥 @fcbbasket @ Palau Blaugrana  https://t.co/VUQ6WtRTsK,en,"[{'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}]",['https://www.instagram.com/p/CGlNI-CFgDt/?igshid=xjlvjoevek62'],[],1,3,100,[],[],https://twitter.com/KingKK_14/status/1318673500610170881,False,,0,,,,,,,,[],,,,
1318670019824439297,1318670019824439297,2020-10-20 23:46:47 Hora de verano romance,2020-10-20,23:46:47,+0200,300484509,noeliadeniz,Noelia Déniz,,👋 @NikolaMirotic33 at Palau Blaugrana @FCBbasket  https://t.co/6IFHyZLj4s,lt,"[{'screen_name': 'nikolamirotic33', 'name': 'nikola mirotic', 'id': '473227811'}, {'screen_name': 'fcbbasket', 'name': '🏆 barça basket 🏆', 'id': '138713484'}]",[],['https://pbs.twimg.com/media/EkzbXedWkAQcg6N.jpg'],0,2,18,[],[],https://twitter.com/noeliadeniz/status/1318670019824439297,False,,1,https://pbs.twimg.com/media/EkzbXedWkAQcg6N.jpg,,,,,,,[],,,,
1318668207687913477,1318664175103729666,2020-10-20 23:39:35 Hora de verano romance,2020-10-20,23:39:35,+0200,833098337666613248,palauresist,LA RESISTENCIA DEL PALAU,,@jcarean @FCBbasket @gipuzkoabasket @ACBCOM Moltes!,ca,[],[],[],0,0,1,[],[],https://twitter.com/palauresist/status/1318668207687913477,False,,0,,,,,,,,"[{'screen_name': 'jcarean', 'name': 'Joareanba', 'id': '3208922056'}, {'screen_name': 'FCBbasket', 'name': '🏆 Barça Basket 🏆', 'id': '138713484'}, {'screen_name': 'gipuzkoabasket', 'name': 'Acunsa Gipuzkoa Basket', 'id': '78827783'}, {'screen_name': 'ACBCOM', 'name': 'Liga Endesa', 'id': '42856346'}]",,,,
