id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1368349895950807042,1368303564905398272,2021-03-07 00:56:52 Hora estándar romance,2021-03-07,00:56:52,+0200,960563006886285315,c_mrtzz1,Carlos Martínez 🇮🇨,,@GranCanariaCB Grande cachorro,es,[],[],[],0,0,0,[],[],https://twitter.com/c_mrtzz1/status/1368349895950807042,False,,0,,,,,,,,"[{'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
1368347180889743360,1368303564905398272,2021-03-07 00:46:05 Hora estándar romance,2021-03-07,00:46:05,+0200,1334817316064923648,jomoratana09041,Jomoratana0904,,@GranCanariaCB Pues qué bien lo hicistes cabron buena chingada💪👏💪,es,[],[],[],0,0,1,[],[],https://twitter.com/Jomoratana09041/status/1368347180889743360,False,,0,,,,,,,,"[{'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
1368341978048512002,1368303564905398272,2021-03-07 00:25:24 Hora estándar romance,2021-03-07,00:25:24,+0200,171642594,dulceserendipia,Sara 👀🏀💛,,"@GranCanariaCB ""Dame la mano que de esta salimos juntos"".",es,[],[],[],0,0,2,[],[],https://twitter.com/dulceserendipia/status/1368341978048512002,False,,0,,,,,,,,"[{'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
1368341264886886402,1368303564905398272,2021-03-07 00:22:34 Hora estándar romance,2021-03-07,00:22:34,+0200,239173436,antoniojose_fde,Antonio José Fernández,,"@GranCanariaCB ""Dame la mano, que hago uso de la energía cinética y consigo que te reincorpores al juego en un pispás. How do you say pispás in spanish?""",es,[],[],[],0,0,2,[],[],https://twitter.com/AntonioJose_Fde/status/1368341264886886402,False,,0,,,,,,,,"[{'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
1368332326942433282,1368332326942433282,2021-03-06 23:47:03 Hora estándar romance,2021-03-06,23:47:03,+0200,1069703565294362624,ehispanicus,🇪🇺🇪🇸🇮🇨🇺🇦🏀,,That ‘s “our” Wiley!!  Truly 🐥💛 power! @Jwiley_24 💪🏽🏀@GranCanariaCB   #VamosGranca,en,"[{'screen_name': 'jwiley_24', 'name': 'jacob wiley', 'id': '821921546209873920'}, {'screen_name': 'grancanariacb', 'name': 'cb gran canaria', 'id': '153428787'}]",[],[],0,0,1,['vamosgranca'],[],https://twitter.com/EHispanicus/status/1368332326942433282,False,https://twitter.com/ACBCOM/status/1368309831585521667,0,,,,,,,,[],,,,
1368331008353988610,1368303564905398272,2021-03-06 23:41:49 Hora estándar romance,2021-03-06,23:41:49,+0200,4038713847,valetin94570645,valetina,,@GranCanariaCB Me apunto al Khalifatooooo,in,[],[],[],0,0,0,[],[],https://twitter.com/valetin94570645/status/1368331008353988610,False,,0,,,,,,,,"[{'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
1368329897475792896,1368329897475792896,2021-03-06 23:37:24 Hora estándar romance,2021-03-06,23:37:24,+0200,374719260,polpeig,Pol Peig,,"Gran partido el hoy vivido entre @GranCanariaCB y @MovistarEstu , aquí mi crónica",es,"[{'screen_name': 'grancanariacb', 'name': 'cb gran canaria', 'id': '153428787'}, {'screen_name': 'movistarestu', 'name': 'movistar estudiantes', 'id': '19781359'}]",[],[],0,0,3,[],[],https://twitter.com/Polpeig/status/1368329897475792896,False,https://twitter.com/G3Basket/status/1368329260235120640,0,,,,,,,,[],,,,
1368329550338342918,1368283577851518977,2021-03-06 23:36:01 Hora estándar romance,2021-03-06,23:36:01,+0200,1006218772125028352,afornies3,Anton,,@ACBCOM @GranCanariaCB OMG AJ Y NO TE PILLO AL SUPERMANAGER😫😫,es,[],[],[],0,0,0,[],[],https://twitter.com/afornies3/status/1368329550338342918,False,,0,,,,,,,,"[{'screen_name': 'ACBCOM', 'name': 'Liga Endesa', 'id': '42856346'}, {'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
1368329222310264832,1368309831585521667,2021-03-06 23:34:43 Hora estándar romance,2021-03-06,23:34:43,+0200,1280537547677011968,remigiolamasca,Remigiolamascara,,@ACBCOM @Jwiley_24 @MovistarPlus 👀 @GranCanariaCB,und,"[{'screen_name': 'grancanariacb', 'name': 'cb gran canaria', 'id': '153428787'}]",[],[],0,0,2,[],[],https://twitter.com/Remigiolamasca/status/1368329222310264832,False,,0,,,,,,,,"[{'screen_name': 'ACBCOM', 'name': 'Liga Endesa', 'id': '42856346'}, {'screen_name': 'Jwiley_24', 'name': 'Jacob Wiley', 'id': '821921546209873920'}, {'screen_name': 'MovistarPlus', 'name': 'Movistar+', 'id': '119938261'}]",,,,
1368327779163471875,1368303564905398272,2021-03-06 23:28:59 Hora estándar romance,2021-03-06,23:28:59,+0200,755942893,radiogofio,Agustin Padron,,"@GranCanariaCB Diop mío, que jugadón!!!",es,[],[],[],0,1,15,[],[],https://twitter.com/radiogofio/status/1368327779163471875,False,,0,,,,,,,,"[{'screen_name': 'GranCanariaCB', 'name': 'CB Gran Canaria', 'id': '153428787'}]",,,,
