id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1312497591439912960,1312497591439912960,2020-10-03 22:59:45 Hora de verano romance,2020-10-03,22:59:45,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,Barriro gozatzen! ¡Volver a disfrutar!  Enjoy again!  https://t.co/ALTX9At6Db,es,[],[],['https://pbs.twimg.com/media/EjbtlbtWoAEkg5w.jpg'],3,30,212,[],[],https://twitter.com/bilbaobasket/status/1312497591439912960,False,,1,https://pbs.twimg.com/media/EjbtlbtWoAEkg5w.jpg,,,,,,,[],,,,
1312474290718011392,1312474290718011392,2020-10-03 21:27:10 Hora de verano romance,2020-10-03,21:27:10,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,Por ahí se va a por la primera 😎  https://t.co/gXvL75rab3,es,[],[],['https://pbs.twimg.com/media/EjbYY5eWsAIG0FF.jpg'],0,10,85,[],[],https://twitter.com/bilbaobasket/status/1312474290718011392,False,,1,https://pbs.twimg.com/media/EjbYY5eWsAIG0FF.jpg,,,,,,,[],,,,
1312469431176454144,1312469431176454144,2020-10-03 21:07:51 Hora de verano romance,2020-10-03,21:07:51,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,Postgame: RETAbet Bilbao Basket 99-81 @OBRADOIROCAB   Albert Oliver Moncho Fernández Ludde Hakanson Alex Mumbrú    https://t.co/Qah5LIOSnC,ca,"[{'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",['https://youtu.be/UXkUHA8TlRc'],[],1,2,9,[],[],https://twitter.com/bilbaobasket/status/1312469431176454144,False,,0,,,,,,,,[],,,,
1312461950400360448,1312461950400360448,2020-10-03 20:38:07 Hora de verano romance,2020-10-03,20:38:07,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,GARAIPENA! Llega la primera tras un extraordinario esfuerzo colectivo que acabó con la imbatibilidad de un combativo @OBRADOIROCAB. Toca seguir trabajando. GOAZEN MIB!   😎 @RETAbet @CDBILBAOBASKET 99-81 @OBRADOIROCAB 🐙 📲 #DefentsaMiribilla  https://t.co/xIx6oud159,es,"[{'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}, {'screen_name': 'retabet', 'name': 'retabet', 'id': '102696872'}, {'screen_name': 'cdbilbaobasket', 'name': 'cdbilbaobasket', 'id': '1326232705810493442'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",[],['https://pbs.twimg.com/media/EjbNL0KWAAIOzVl.jpg'],15,66,280,['defentsamiribilla'],[],https://twitter.com/bilbaobasket/status/1312461950400360448,False,,1,https://pbs.twimg.com/media/EjbNL0KWAAIOzVl.jpg,,,,,,,[],,,,
1312458131780235264,1312458131780235264,2020-10-03 20:22:57 Hora de verano romance,2020-10-03,20:22:57,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,Puedes seguir en directo las comparecencias postpartido:  https://t.co/D4zlZ0Vo5b,es,[],['https://youtu.be/_GzqhG4PcBA'],[],0,2,9,[],[],https://twitter.com/bilbaobasket/status/1312458131780235264,False,,0,,,,,,,,[],,,,
1312451058329776128,1312451058329776128,2020-10-03 19:54:51 Hora de verano romance,2020-10-03,19:54:51,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,HIRUKOAAAAA @ludde12!  😎 @RETAbet @CDBILBAOBASKET 99-78 @OBRADOIROCAB 🐙 📲 #DefentsaMiribilla,eu,"[{'screen_name': 'ludde12', 'name': 'ludde håkanson', 'id': '402146485'}, {'screen_name': 'retabet', 'name': 'retabet', 'id': '102696872'}, {'screen_name': 'cdbilbaobasket', 'name': 'cdbilbaobasket', 'id': '1326232705810493442'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",[],[],1,3,42,['defentsamiribilla'],[],https://twitter.com/bilbaobasket/status/1312451058329776128,False,,0,,,,,,,,[],,,,
1312450721124478977,1312450721124478977,2020-10-03 19:53:30 Hora de verano romance,2020-10-03,19:53:30,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,¡La roba y anota @zyzio151!  😎 @RETAbet @CDBILBAOBASKET 96-75 @OBRADOIROCAB 🐙 📲 #DefentsaMiribilla,es,"[{'screen_name': 'zyzio151', 'name': 'jarosław zyskowski', 'id': '1604102826'}, {'screen_name': 'retabet', 'name': 'retabet', 'id': '102696872'}, {'screen_name': 'cdbilbaobasket', 'name': 'cdbilbaobasket', 'id': '1326232705810493442'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",[],[],0,1,8,['defentsamiribilla'],[],https://twitter.com/bilbaobasket/status/1312450721124478977,False,,0,,,,,,,,[],,,,
1312449729251352576,1312449729251352576,2020-10-03 19:49:34 Hora de verano romance,2020-10-03,19:49:34,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,Anota Ludde 1 TL por técnica   😎 @RETAbet @CDBILBAOBASKET 92-73 @OBRADOIROCAB 🐙 📲 #DefentsaMiribilla,pt,"[{'screen_name': 'retabet', 'name': 'retabet', 'id': '102696872'}, {'screen_name': 'cdbilbaobasket', 'name': 'cdbilbaobasket', 'id': '1326232705810493442'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",[],[],0,2,11,['defentsamiribilla'],[],https://twitter.com/bilbaobasket/status/1312449729251352576,False,,0,,,,,,,,[],,,,
1312449601677348864,1312449601677348864,2020-10-03 19:49:03 Hora de verano romance,2020-10-03,19:49:03,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,¡¡DE NUEVO ROUSSELLE!! ENTRANDO CON TODO OTRA VEZ  😎 @RETAbet @CDBILBAOBASKET 91-73 @OBRADOIROCAB 🐙 📲 #DefentsaMiribilla,es,"[{'screen_name': 'retabet', 'name': 'retabet', 'id': '102696872'}, {'screen_name': 'cdbilbaobasket', 'name': 'cdbilbaobasket', 'id': '1326232705810493442'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",[],[],2,2,31,['defentsamiribilla'],[],https://twitter.com/bilbaobasket/status/1312449601677348864,False,,0,,,,,,,,[],,,,
1312449000189030402,1312449000189030402,2020-10-03 19:46:40 Hora de verano romance,2020-10-03,19:46:40,+0200,68645725,bilbaobasket,RETAbet Bilbao Basket 😎,,¡¡MACHACA @OBalvin!!  😎 @RETAbet @CDBILBAOBASKET 89-70 @OBRADOIROCAB 🐙 📲 #DefentsaMiribilla,es,"[{'screen_name': 'obalvin', 'name': 'ondrej balvin', 'id': '1198698674'}, {'screen_name': 'retabet', 'name': 'retabet', 'id': '102696872'}, {'screen_name': 'cdbilbaobasket', 'name': 'cdbilbaobasket', 'id': '1326232705810493442'}, {'screen_name': 'obradoirocab', 'name': 'obradoiro cab', 'id': '136212064'}]",[],[],0,1,14,['defentsamiribilla'],[],https://twitter.com/bilbaobasket/status/1312449000189030402,False,,0,,,,,,,,[],,,,
